[03:11:19] [INFO] received Windows console close event; shutting log-core down
[03:12:04] [INFO] received Windows console close event; shutting log-core down
[03:12:50] [INFO] received Windows console close event; shutting log-core down
[03:13:51] [INFO] received Windows console close event; shutting log-core down
[03:15:45] [INFO] received Windows console close event; shutting log-core down
[03:17:42] [INFO] received Windows console close event; shutting log-core down
[03:18:43] [INFO] received Windows console close event; shutting log-core down
[03:20:50] [INFO] received Windows console close event; shutting log-core down
[03:22:14] [INFO] received Windows console close event; shutting log-core down
[03:23:44] [INFO] received Windows console close event; shutting log-core down
[03:24:25] [INFO] received Windows console close event; shutting log-core down
[03:29:53] [INFO] received Windows console close event; shutting log-core down
[04:56:11] [INFO] received Windows console close event; shutting log-core down
[04:59:18] [INFO] received Windows console close event; shutting log-core down
[05:03:22] [INFO] received Windows console close event; shutting log-core down
[05:07:31] [INFO] received Windows console close event; shutting log-core down
[05:10:15] [INFO] received Windows console close event; shutting log-core down
[05:17:30] [INFO] received Windows console close event; shutting log-core down
[05:26:42] [INFO] received Windows console close event; shutting log-core down
[05:29:56] [INFO] received Windows console close event; shutting log-core down
[07:08:16] [INFO] received Windows console close event; shutting log-core down
[07:29:19] [INFO] received Windows console close event; shutting log-core down
[07:30:28] [INFO] received Windows console close event; shutting log-core down
[07:43:43] [INFO] received Windows console close event; shutting log-core down
[07:47:00] [INFO] received Windows console close event; shutting log-core down
[07:50:45] [INFO] received Windows console close event; shutting log-core down
[07:53:08] [INFO] received Windows console close event; shutting log-core down
[07:57:22] [INFO] received Windows console close event; shutting log-core down
[07:58:40] [INFO] received Windows console close event; shutting log-core down
[08:04:32] [INFO] received Windows console close event; shutting log-core down
[08:05:49] [INFO] received Windows console close event; shutting log-core down
[08:09:01] [INFO] received Windows console close event; shutting log-core down
[08:10:28] [INFO] received Windows console close event; shutting log-core down
[08:17:03] [INFO] received Windows console close event; shutting log-core down
[08:20:33] [INFO] received Windows console close event; shutting log-core down
[08:29:10] [INFO] received Windows console close event; shutting log-core down
[08:30:51] [INFO] received Windows console close event; shutting log-core down
[18:31:37] [INFO] received Windows console close event; shutting log-core down
[18:32:53] [INFO] received Windows console close event; shutting log-core down
[21:11:44] [INFO] received Windows console close event; shutting log-core down
[21:13:57] [INFO] received Windows console close event; shutting log-core down
[21:16:06] [INFO] received Windows console close event; shutting log-core down
[21:17:16] [INFO] received Windows console close event; shutting log-core down
[21:19:08] [INFO] received Windows console close event; shutting log-core down
[21:20:29] [INFO] received Windows console close event; shutting log-core down
[21:26:31] [INFO] received Windows console close event; shutting log-core down
[21:32:27] [INFO] received Windows console close event; shutting log-core down
[21:33:54] [INFO] received Windows console close event; shutting log-core down
[21:35:13] [INFO] received Windows console close event; shutting log-core down
[21:38:41] [INFO] received Windows console close event; shutting log-core down
[21:44:24] [INFO] received Windows console close event; shutting log-core down
[21:45:29] [INFO] received Windows console close event; shutting log-core down
[23:03:02] [INFO] received Windows console close event; shutting log-core down
[02:29:37] [INFO] received Windows console close event; shutting log-core down
[02:44:08] [INFO] received Windows console close event; shutting log-core down
[02:45:03] [INFO] received Windows console close event; shutting log-core down
[03:09:52] [INFO] received Windows console close event; shutting log-core down
[03:10:55] [INFO] received Windows console close event; shutting log-core down
[03:12:43] [INFO] received Windows console close event; shutting log-core down
[03:15:07] [INFO] received Windows console close event; shutting log-core down
[03:17:29] [INFO] received Windows console close event; shutting log-core down
[03:18:33] [INFO] received Windows console close event; shutting log-core down
[03:20:39] [INFO] received Windows console close event; shutting log-core down
[03:24:03] [INFO] received Windows console close event; shutting log-core down
[03:27:36] [INFO] received Windows console close event; shutting log-core down
[03:32:14] [INFO] received Windows console close event; shutting log-core down
[03:51:08] [INFO] received Windows console close event; shutting log-core down
[03:51:47] [INFO] received Windows console close event; shutting log-core down
[03:54:59] [INFO] received Windows console close event; shutting log-core down
[03:58:23] [INFO] received Windows console close event; shutting log-core down
[04:02:15] [INFO] received Windows console close event; shutting log-core down
[04:05:20] [INFO] received Windows console close event; shutting log-core down
[21:14:00] [INFO] received Windows console close event; shutting log-core down
[21:21:15] [INFO] received Windows console close event; shutting log-core down
[21:31:11] [INFO] received Windows console close event; shutting log-core down
[22:12:03] [INFO] received Windows console close event; shutting log-core down
[20:43:14] [INFO] received Windows console close event; shutting log-core down
[03:58:42] [INFO] received Windows console close event; shutting log-core down
[04:00:45] [INFO] received Windows console close event; shutting log-core down
[05:26:52] [INFO] received Windows console close event; shutting log-core down
[05:55:55] [INFO] received Windows console close event; shutting log-core down
[05:58:30] [INFO] received Windows console close event; shutting log-core down
[05:58:59] [INFO] received Windows console close event; shutting log-core down
[06:00:31] [INFO] received Windows console close event; shutting log-core down
[06:02:05] [INFO] received Windows console close event; shutting log-core down
[06:02:46] [INFO] received Windows console close event; shutting log-core down
[06:06:03] [INFO] received Windows console close event; shutting log-core down
[06:06:41] [INFO] received Windows console close event; shutting log-core down
[06:09:26] [INFO] received Windows console close event; shutting log-core down
[06:10:53] [INFO] received Windows console close event; shutting log-core down
[06:12:12] [INFO] received Windows console close event; shutting log-core down
[06:14:30] [INFO] received Windows console close event; shutting log-core down
[06:15:44] [INFO] received Windows console close event; shutting log-core down
[06:18:11] [INFO] received Windows console close event; shutting log-core down
[06:21:55] [INFO] received Windows console close event; shutting log-core down
[06:28:29] [INFO] received Windows console close event; shutting log-core down
[06:31:57] [INFO] received Windows console close event; shutting log-core down
[06:36:36] [INFO] received Windows console close event; shutting log-core down
[06:39:38] [INFO] received Windows console close event; shutting log-core down
[06:42:47] [INFO] received Windows console close event; shutting log-core down
[06:45:46] [INFO] received Windows console close event; shutting log-core down
[06:46:48] [INFO] received Windows console close event; shutting log-core down
[06:48:55] [INFO] received Windows console close event; shutting log-core down
[06:50:56] [INFO] received Windows console close event; shutting log-core down
[06:57:00] [INFO] received Windows console close event; shutting log-core down
[07:02:01] [INFO] received Windows console close event; shutting log-core down
[16:36:53] [INFO] received Windows console close event; shutting log-core down
[16:38:22] [INFO] received Windows console close event; shutting log-core down
[16:39:08] [INFO] received Windows console close event; shutting log-core down
[17:09:07] [INFO] received Windows console close event; shutting log-core down
[17:10:50] [INFO] received Windows console close event; shutting log-core down
[17:11:24] [INFO] received Windows console close event; shutting log-core down
[17:16:31] [INFO] received Windows console close event; shutting log-core down
[17:18:17] [INFO] received Windows console close event; shutting log-core down
[17:20:29] [INFO] received Windows console close event; shutting log-core down
[17:22:12] [INFO] received Windows console close event; shutting log-core down
[17:23:21] [INFO] received Windows console close event; shutting log-core down
[17:31:41] [INFO] received Windows console close event; shutting log-core down
[01:36:01] [INFO] received Windows console close event; shutting log-core down
[01:39:05] [INFO] received Windows console close event; shutting log-core down
[01:42:22] [INFO] received Windows console close event; shutting log-core down
[01:42:54] [INFO] received Windows console close event; shutting log-core down
[01:44:32] [INFO] received Windows console close event; shutting log-core down
[01:45:13] [INFO] received Windows console close event; shutting log-core down
[01:46:34] [INFO] received Windows console close event; shutting log-core down
[01:47:58] [INFO] received Windows console close event; shutting log-core down
[01:48:32] [INFO] received Windows console close event; shutting log-core down
[01:49:03] [INFO] received Windows console close event; shutting log-core down
[01:49:33] [INFO] received Windows console close event; shutting log-core down
[01:50:09] [INFO] received Windows console close event; shutting log-core down
[01:53:12] [INFO] received Windows console close event; shutting log-core down
[01:54:15] [INFO] received Windows console close event; shutting log-core down
[01:56:17] [INFO] received Windows console close event; shutting log-core down
[01:57:46] [INFO] received Windows console close event; shutting log-core down
[02:03:44] [INFO] received Windows console close event; shutting log-core down
[02:17:52] [INFO] received Windows console close event; shutting log-core down
[02:19:27] [INFO] received Windows console close event; shutting log-core down
[02:29:16] [INFO] received Windows console close event; shutting log-core down
